Max Verstappen,Lewis Hamilton,Valterri Bottas,Charles Leclerc,Lando Norris,Daniel Ricciardo,Fernando Alonso,Sebastian Vettel,George Russell,Esteban Ocon,Carlos Sainz Jr,Pierre Gasly,Kimi Raikkonen,Lance Stroll,Antonio Giovinazzi,Yuki Tsunoda,Nicholas Latifi,Mick Schumacher,Nikita Mazepin,Sergio Perez,
Valterri Bottas,Max Verstappen,Daniel Ricciardo,Lando Norris,Lewis Hamilton,Charles Leclerc,Carlos Sainz Jr,Antonio Giovinazzi,Sergio Perez,Lance Stroll,Fernando Alonso,Sebastian Vettel,Esteban Ocon,Nicholas Latifi,George Russell,Yuki Tsunoda,Nikita Mazepin,Robert Kubica,Mick Schumacher,Pierre Gasly,
Valterri Bottas,Max Verstappen,Carlos Sainz Jr,Sergio Perez,Lewis Hamilton,Lando Norris,Charles Leclerc,Pierre Gasly,Esteban Ocon,Sebastian Vettel,Daniel Ricciardo,Fernando Alonso,Antonio Giovinazzi,Lance Stroll,Yuki Tsunoda,Nicholas Latifi,George Russell,Kimi Raikkonen,Mick Schumacher,Nikita Mazepin,
--,Max Verstappen,Lewis Hamilton,Valterri Bottas,Sergio Perez,Carlos Sainz Jr,Lando Norris,Charles Leclerc,Daniel Ricciardo,Pierre Gasly,Fernando Alonso,Esteban Ocon,Sebastian Vettel,Lance Stroll,Yuki Tsunoda,George Russell,Kimi Raikkonen,Nicholas Latifi,Antonio Giovinazzi,Mick Schumacher,Robert Kubica,Nikita Mazepin,
~,Nikita Mazepin,Robert Kubica,Kimi Raikkonen,Antonio Giovinazzi,
Max Verstappen,Charles Leclerc,Sergio Perez,Carlos Sainz Jr,Lando Norris,Daniel Ricciardo,Valterri Bottas,Kevin Magnussen,Fernando Alonso,Mick Schumacher,George Russell,Yuki Tsunoda,Sebastian Vettel,Lewis Hamilton,Lance Stroll,Esteban Ocon,Pierre Gasly,Alexander Albon,Nicholas Latifi,Zhou Guanyu,
Max Verstappen,Charles Leclerc,Carlos Sainz Jr,George Russell,Sergio Perez,Esteban Ocon,Kevin Magnussen,Lewis Hamilton,Mick Schumacher,Valterri Bottas,Lando Norris,Daniel Ricciardo,Lance Stroll,Zhou Guanyu,Pierre Gasly,Alexander Albon,Yuki Tsunoda,Nicholas Latifi,Sebastian Vettel,Fernando Alonso,
George Russell,Carlos Sainz Jr,Lewis Hamilton,Max Verstappen,Sergio Perez,Charles Leclerc,Lando Norris,Kevin Magnussen,Sebastian Vettel,Pierre Gasly,Daniel Ricciardo,Mick Schumacher,Zhou Guanyu,Valterri Bottas,Yuki Tsunoda,Lance Stroll,Esteban Ocon,Fernando Alonso,Nicholas Latifi,Alexander Albon,
--,Max Verstappen,Charles Leclerc,Sergio Perez,George Russell,Carlos Sainz Jr,Lewis Hamilton,Lando Norris,Esteban Ocon,Fernando Alonso,Valterri Bottas,Daniel Ricciardo,Sebastian Vettel,Kevin Magnussen,Pierre Gasly,Lance Stroll,Mick Schumacher,Yuki Tsunoda,Zhou Guanyu,Alexander Albon,Nicholas Latifi,
~,Sebastian Vettel,Mick Schumacher,Nicholas Latifi,
Sergio Perez,Charles Leclerc,Max Verstappen,George Russell,Carlos Sainz Jr,Fernando Alonso,Lewis Hamilton,Lance Stroll,Alexander Albon,Oscar Piastri,Kevin Magnussen,Zhou Guanyu,Pierre Gasly,Nyck De Vries,Nico Hulkenberg,Valterri Bottas,Lando Norris,Esteban Ocon,Yuki Tsunoda,Logan Sargeant,
Max Verstappen,Sergio Perez,Carlos Sainz Jr,Lance Stroll,Fernando Alonso,Nico Hulkenberg,Esteban Ocon,George Russell,Lando Norris,Lewis Hamilton,Oscar Piastri,Charles Leclerc,Alexander Albon,Kevin Magnussen,Pierre Gasly,Yuki Tsunoda,Nyck De Vries,Logan Sargeant,Zhou Guanyu,Valterri Bottas,
Max Verstappen,Oscar Piastri,Pierre Gasly,Carlos Sainz Jr,Charles Leclerc,Lando Norris,Lewis Hamilton,George Russell,Esteban Ocon,Daniel Ricciardo,Lance Stroll,Alexander Albon,Valterri Bottas,Kevin Magnussen,Zhou Guanyu,Logan Sargeant,Nico Hulkenberg,Yuki Tsunoda,Sergio Perez,Fernando Alonso,
Oscar Piastri,Max Verstappen,Lando Norris,George Russell,Lewis Hamilton,Carlos Sainz Jr,Alexander Albon,Fernando Alonso,Pierre Gasly,Valterri Bottas,Yuki Tsunoda,Charles Leclerc,Kevin Magnussen,Zhou Guanyu,Lance Stroll,Nico Hulkenberg,Esteban Ocon,Sergio Perez,Logan Sargeant,Liam Lawson,
Max Verstappen,Lewis Hamilton,Charles Leclerc,Lando Norris,Sergio Perez,Carlos Sainz Jr,Pierre Gasly,George Russell,Alexander Albon,Oscar Piastri,Esteban Ocon,Daniel Ricciardo,Fernando Alonso,Yuki Tsunoda,Nico Hulkenberg,Valterri Bottas,Zhou Guanyu,Kevin Magnussen,Logan Sargeant,Lance Stroll,
Max Verstappen,Lando Norris,Sergio Perez,George Russell,Charles Leclerc,Yuki Tsunoda,Lewis Hamilton,Carlos Sainz Jr,Daniel Ricciardo,Oscar Piastri,Fernando Alonso,Lance Stroll,Pierre Gasly,Esteban Ocon,Alexander Albon,Kevin Magnussen,Zhou Guanyu,Nico Hulkenberg,Valterri Bottas,Logan Sargeant,
--,Max Verstappen,Sergio Perez,Lewis Hamilton,Fernando Alonso,Charles Leclerc,Lando Norris,Carlos Sainz Jr,George Russell,Oscar Piastri,Lance Stroll,Pierre Gasly,Esteban Ocon,Alexander Albon,Yuki Tsunoda,Valterri Bottas,Nico Hulkenberg,Daniel Ricciardo,Zhou Guanyu,Kevin Magnussen,Liam Lawson,Logan Sargeant,Nyck De Vries,
~,Nyck De Vries,Liam Lawson,
Max Verstappen,Lewis Hamilton,Sergio Perez,Charles Leclerc,Carlos Sainz Jr,Lando Norris,Oscar Piastri,George Russell,Zhou Guanyu,Kevin Magnussen,Daniel Ricciardo,Valterri Bottas,Esteban Ocon,Lance Stroll,Pierre Gasly,Yuki Tsunoda,Alexander Albon,Logan Sargeant,Nico Hulkenberg,Fernando Alonso,
Max Verstappen,Charles Leclerc,Sergio Perez,Daniel Ricciardo,Carlos Sainz Jr,Oscar Piastri,Nico Hulkenberg,Yuki Tsunoda,Pierre Gasly,Logan Sargeant,Zhou Guanyu,George Russell,Alexander Albon,Valterri Bottas,Esteban Ocon,Lewis Hamilton,Fernando Alonso,Kevin Magnussen,Lance Stroll,Lando Norris,
Max Verstappen,Oscar Piastri,Lando Norris,George Russell,Carlos Sainz Jr,Lewis Hamilton,Charles Leclerc,Sergio Perez,Kevin Magnussen,Lance Stroll,Esteban Ocon,Pierre Gasly,Yuki Tsunoda,Daniel Ricciardo,Fernando Alonso,Logan Sargeant,Alexander Albon,Valterri Bottas,Nico Hulkenberg,Zhou Guanyu,
